e1,d1,d2,d4,d5,d6,r1,r2,r5,r6,r9,r10,r11,r13,r15,r19,r20,r21,r22,r24,r25,r26,r27,r28,f1,f3,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,f15,f16,f17,r3,r7,r8
3,2,4,2,4,27,1,0,30,1,5,5,1,5,6,6,2,2,2,6,2,2,4,1,12,2,7,2,6,6,6,3,3,6,4,2,3,4,4,4,,4,7,4,5,,4,3,4,5,4,,,4,4,4,91,91,
3,2,1,2,4,23,2,4,25,1,3,3,2,1,4,6,5,6,6,5,6,6,6,3,14,7,6,7,7,7,7,7,6,6,7,7,3,4,0,2,0,0,0,5,0,0,5,3,1,0,0,4,0,4,4,5,48,2,3
4,2,1,4,5,23,1,0,22,1,3,5,1,5,5,5,2,1,7,6,2,5,2,1,14,5,4,4,3,6,6,6,4,7,5,4,7,7,6,0,0,10,,9,,,8,7,9,9,10,6,6,3,4,5,48,48,
4,2,4,2,5,19,4,1,19,4,5,5,1,5,7,7,1,2,2,7,2,2,5,1,12,2,5,2,2,2,5,7,7,7,3,2,7,4,4,,,8,5,5,,7,,7,6,8,3,,,5,,,16,16,18
,1,1,2,3,27,2,1,26,1,5,5,1,5,7,7,1,1,4,6,1,6,1,1,14,1,4,2,6,2,1,2,2,2,6,7,2,4,4,5,4,4,,3,,7,1,2,,7,8,,,5,5,5,58,58,68
,2,1,2,5,25,3,1,24,1,5,5,1,5,7,6,3,5,2,5,2,2,2,1,14,2,5,2,2,2,2,2,2,2,7,6,8,7,5,8,,8,,6,,8,1,8,2,7,0,,,3,3,3,36,25,26
,2,1,2,4,24,2,1,24,1,4,5,2,5,6,5,3,2,5,7,1,2,1,1,12,2,5,2,2,2,6,6,6,7,5,1,7,3,3,8,,9,7,10,,8,,5,8,10,5,,,5,5,5,35,35,36
3,2,1,8,2,25,3,10,23,1,5,5,1,5,6,7,1,1,1,5,6,1,1,2,12,4,4,2,1,9,7,7,7,7,5,1,,1,2,7,,,,4,2,8,4,3,1,,3,,6,,,,36,14,18
3,2,1,2,5,26,2,2,26,1,5,5,1,5,7,7,1,1,1,7,1,1,1,1,14,1,2,1,2,2,1,2,2,1,7,7,4,1,,3,,,,,,5,0,0,0,2,5,0,,5,5,5,46,46,50
4,2,1,2,4,21,4,3,23,4,5,5,1,5,7,7,2,2,4,5,4,2,3,4,14,1,2,1,4,2,2,3,2,2,6,7,7,3,5,4,9,9,,6,,4,1,7,1,8,2,6,8,5,5,5,16,16,28
4,2,1,4,3,22,1,2,22,1,3,5,2,4,4,2,6,1,7,1,1,6,1,3,14,1,1,1,1,1,1,1,1,1,7,7,5,2,1,8,8,8,,,,10,,,,10,,1,10,5,5,5,13,13,32
4,2,1,2,4,25,3,3,29,1,5,,1,5,7,7,2,2,2,7,2,2,2,1,14,1,1,1,2,2,1,3,1,1,7,7,7,9,8,8,8,,,5,,6,3,,,10,7,,,5,5,5,22,22,36
,2,1,2,4,23,2,1,23,1,4,4,2,4,7,6,2,2,7,7,2,5,2,3,14,7,3,7,2,2,7,7,7,7,3,3,4,,,,,3,,6,,8,6,3,9,,,,,4,4,4,26,26,29
,2,7,2,5,24,1,2,24,3,5,5,1,5,7,7,1,1,4,7,1,5,4,1,14,2,4,1,4,2,3,4,3,3,6,6,5,,4,5,7,9,,5,,,3,6,,7,8,5,,4,5,5,22,22,
1,2,6,2,5,28,2,,28,4,5,5,1,5,7,6,1,1,4,6,1,1,4,1,14,1,2,1,1,6,1,2,2,2,7,7,,10,0,3,0,10,,6,,3,,1,6,,3,,,5,5,5,84,84,96
4,2,3,2,3,23,1,1,23,3,3,4,1,5,6,5,3,2,6,5,2,5,4,3,9,5,7,1,2,6,6,7,7,7,4,1,7,4,2,6,2,7,7,8,9,1,2,0,5,9,4,1,1,5,5,5,24,24,0
,2,4,2,5,25,4,2,28,1,4,4,1,5,7,6,5,1,5,6,1,1,5,1,14,4,2,1,2,5,2,3,3,5,4,6,5,7,3,3,4,6,,7,,8,,5,8,6,8,3,9,5,4,4,42,9,12
5,2,1,2,4,23,2,1,25,1,5,3,3,4,1,5,5,1,1,7,2,2,6,1,14,1,1,1,2,1,1,1,1,1,9,9,6,9,5,,10,7,,10,,10,,3,,2,6,4,,5,5,5,20,20,8
3,2,1,2,4,22,1,12,24,2,1,1,1,4,5,7,2,3,6,6,2,5,5,4,14,2,1,1,1,4,1,1,1,1,6,3,6,2,2,8,8,10,2,2,2,8,5,10,9,5,2,1,1,5,5,5,6,6,
1,2,1,2,5,23,2,5,23,3,1,2,2,3,7,6,3,1,3,4,2,5,2,3,12,4,1,1,4,1,1,7,7,7,3,1,3,0,0,,,1,0,,,0,,,,2,,2,1,5,5,4,6,6,30
4,1,4,2,4,24,1,6,20,4,2,3,2,5,6,7,2,1,7,7,1,1,4,1,14,4,1,1,5,1,6,6,2,6,7,4,3,2,1,5,,,,,,6,,7,,,6,,,1,3,1,38,38,1
3,2,1,2,4,23,3,1,23,1,5,5,1,5,7,7,2,2,2,6,2,5,5,1,14,1,2,1,2,2,1,2,2,1,7,7,5,4,4,6,6,8,,5,,0,3,4,3,9,7,6,10,5,5,5,39,39,48
2,2,1,2,4,25,2,5,27,1,5,5,1,5,7,6,2,5,4,6,5,2,5,1,14,1,5,5,4,5,5,6,6,3,3,5,3,3,3,9,,6,,6,,9,6,4,4,6,9,5,8,5,5,4,72,72,84
7,1,1,2,2,23,1,1,24,1,5,5,2,5,7,7,1,2,6,7,1,1,5,1,12,7,7,2,1,6,7,6,5,7,3,1,6,4,0,7,,7,2,7,2,,,2,8,,1,,6,5,5,5,53,53,62
3,2,4,4,4,25,1,2,25,1,5,5,3,5,7,7,1,2,4,7,1,3,3,1,14,1,1,1,2,1,1,1,1,2,6,6,,2,2,5,,3,,5,,3,2,,3,,5,5,,5,5,5,78,78,
3,2,1,2,5,24,4,1,26,1,4,4,1,5,7,7,1,1,2,7,1,2,1,1,12,1,3,1,2,6,2,2,6,6,7,3,8,8,6,,8,,10,9,,10,6,6,9,,3,,,5,5,5,64,4,5
3,2,1,2,5,22,3,0,23,2,4,4,1,4,6,6,2,6,2,5,2,1,3,1,14,2,1,4,2,2,2,2,2,2,7,7,7,1,2,,3,,,8,,8,3,2,9,1,7,,,4,4,3,38,12,24
4,2,4,2,3,25,2,11,26,2,4,4,1,4,3,2,5,4,5,3,5,2,7,4,11,4,5,2,3,7,6,7,7,7,6,1,8,,10,10,,,10,10,,7,7,7,10,8,7,6,10,3,5,3,60,12,36
4,2,1,2,4,23,1,3,23,1,3,3,1,5,6,6,2,1,4,7,1,4,1,1,14,1,1,1,4,1,1,1,1,1,7,7,5,8,6,8,,5,,5,,0,1,1,1,7,1,1,,5,5,5,73,73,
4,2,1,2,4,23,3,2,21,4,5,5,3,5,5,6,3,3,3,6,3,3,3,1,14,1,3,1,5,4,1,1,1,1,6,9,3,3,1,1,1,1,,2,,5,,1,,,1,,4,5,5,5,24,8,4
,1,1,2,3,30,3,2,29,3,4,4,3,4,6,6,2,2,4,5,3,3,3,1,14,1,1,1,4,2,1,1,1,1,6,7,5,4,4,7,7,9,9,5,,2,6,4,4,9,2,7,,4,4,4,48,48,50
2,2,5,2,3,27,4,15,26,4,2,2,1,3,4,3,6,2,7,6,2,4,5,1,12,3,7,1,5,6,7,7,7,7,5,1,7,5,10,10,8,10,5,5,2,10,3,6,3,10,7,3,8,5,5,5,24,2,48
4,2,1,2,3,25,1,6,31,1,3,3,1,4,7,7,2,1,6,7,1,1,5,4,14,2,2,1,5,5,5,7,5,3,6,4,5,3,3,,1,2,,,,,,2,,5,,,,5,5,5,6,1,
4,5,4,2,3,22,5,10,22,1,5,5,2,5,7,5,5,1,2,5,2,6,1,3,10,6,6,2,2,7,7,7,7,7,4,1,9,5,4,6,9,7,1,3,,8,6,2,,,4,5,9,5,5,5,45,45,45
4,1,1,2,5,25,5,3,24,1,4,5,1,5,7,6,1,1,5,3,1,2,1,1,14,1,6,2,3,3,3,6,5,1,7,6,8,8,4,6,5,6,,3,,6,0,1,0,2,2,,3,4,5,4,52,52,46
2,1,1,2,4,28,3,11,29,1,5,5,1,5,7,7,1,2,5,6,1,3,3,1,14,2,1,1,2,1,2,4,3,2,5,7,2,4,1,3,4,3,,1,,3,2,1,1,3,2,,,5,5,5,118,118,118
4,2,4,2,2,29,2,2,31,1,5,5,1,5,6,6,3,2,5,6,1,6,2,3,12,3,7,2,2,2,6,7,6,7,4,2,8,9,3,9,4,8,2,9,9,8,4,7,6,9,6,,,3,4,4,86,86,90
4,2,1,2,4,26,2,6,25,1,3,4,3,5,5,2,6,2,3,7,2,7,1,3,14,6,5,1,1,3,6,7,6,7,3,1,6,7,3,6,,8,,6,,5,,5,3,3,0,1,,4,3,4,36,36,48
4,2,1,2,5,22,1,0,22,1,4,3,1,5,7,6,2,2,2,6,2,3,1,1,14,5,7,1,3,6,6,6,6,7,4,4,7,6,4,2,9,,8,10,,,4,5,6,6,3,,,5,5,5,50,50,
4,2,1,2,4,27,2,3,27,1,5,5,1,5,6,7,2,3,2,6,2,2,3,1,14,1,3,1,2,1,2,2,2,2,7,7,3,7,7,,,,,4,,6,3,,,4,5,,5,4,4,4,40,47,50
4,2,1,2,3,24,3,0,28,1,4,5,3,5,5,6,5,3,3,7,2,2,2,1,14,2,7,,4,6,5,5,7,7,6,6,5,1,1,0,1,,,7,,2,5,1,6,,5,3,,5,5,5,24,8,14
4,2,1,2,3,23,1,0,26,4,3,5,4,4,6,5,5,2,7,5,2,2,5,4,14,3,7,5,4,7,5,6,6,6,6,3,7,5,6,5,2,8,3,8,,7,,8,6,2,2,4,7,4,3,4,72,72,27
,1,1,2,3,22,1,1,22,1,4,4,1,5,7,2,6,2,,7,1,6,3,3,8,6,7,3,4,9,6,6,5,7,5,1,5,,8,9,,,0,8,,,,7,4,,6,,,1,3,2,30,30,
,2,4,2,3,24,2,4,36,1,4,4,2,3,6,5,2,3,5,6,2,3,2,1,12,1,2,2,2,5,2,2,3,5,7,5,4,6,6,5,1,2,0,2,,4,,2,2,,5,1,,5,5,5,4,2,2
2,2,6,2,3,27,4,11,30,,5,5,1,5,7,7,2,1,2,3,1,1,5,4,12,7,7,9,9,7,9,6,6,6,9,1,7,9,4,10,10,4,5,7,4,6,3,,10,6,4,6,8,4,5,5,48,48,5
4,1,1,2,5,25,1,5,25,2,4,4,2,5,6,6,1,1,6,6,1,1,6,1,14,1,1,1,5,1,1,1,1,1,7,9,3,,2,2,,,,,,5,4,,,,,,,5,5,5,24,24,24
4,2,1,2,5,22,1,0,21,4,5,5,2,5,7,7,2,2,3,5,3,1,6,4,11,4,2,3,9,2,4,3,5,5,9,1,5,7,5,8,2,6,9,5,,,6,10,7,8,2,3,3,5,5,5,50,50,
5,5,6,2,5,24,1,0,26,2,4,4,2,4,6,6,4,3,2,6,2,5,2,1,14,2,1,1,5,2,1,2,2,2,7,7,4,,,1,0,3,,1,,2,2,2,,5,4,1,1,5,5,5,6,6,90
4,2,1,2,4,22,2,5,25,1,4,3,3,4,3,3,6,4,5,6,4,3,2,1,14,5,7,2,4,6,7,7,7,7,4,5,5,8,8,4,,,,5,,4,,1,,,4,3,,4,4,4,12,12,6
,2,4,2,2,23,3,7,24,2,5,5,3,5,6,3,3,6,4,5,5,1,4,4,12,1,6,4,5,5,5,5,7,7,5,1,7,10,10,10,,9,10,10,10,10,1,1,7,8,5,,10,3,5,3,36,12,24
2,1,1,2,3,24,2,4,26,2,2,3,3,3,1,4,1,6,1,4,7,1,6,4,9,9,9,9,9,9,9,9,9,9,9,9,7,,2,,6,6,,9,,10,10,3,10,,,,10,5,4,4,36,12,7
2,1,1,2,4,24,1,2,25,1,3,5,2,4,2,3,5,5,3,2,2,2,4,2,14,1,1,2,5,2,1,1,1,1,7,7,6,6,5,7,7,7,,6,,,9,3,,10,8,9,,4,4,4,21,6,14
4,2,1,8,3,22,1,3,23,1,3,3,1,3,6,6,2,2,5,6,1,1,4,1,14,3,5,1,5,6,7,7,7,7,2,2,7,,,9,,3,,8,,2,1,0,5,,1,,3,5,5,5,8,3,15
3,2,1,2,5,25,2,7,25,3,4,5,1,5,6,6,2,5,5,6,1,1,3,1,14,4,3,1,2,2,2,5,1,5,5,5,2,1,,4,,8,,,,5,3,3,,4,2,2,,4,5,4,50,50,62
5,2,1,2,4,28,3,2,27,1,5,5,1,5,7,7,1,1,2,7,1,1,1,1,14,1,7,3,3,1,1,3,3,3,7,7,,7,6,4,4,7,,2,,2,,,2,5,,,2,5,4,4,51,51,53
3,2,1,2,3,22,2,1,22,4,5,4,2,5,6,6,2,2,2,5,2,2,6,4,14,2,3,1,3,5,2,6,3,6,5,5,,4,4,8,,9,,7,,2,5,,,5,8,8,6,5,5,5,48,48,
4,2,1,2,4,22,2,7,21,2,2,2,1,3,7,5,6,2,7,7,2,4,6,3,14,1,6,1,3,4,2,2,1,3,6,9,6,9,9,7,7,10,,8,,8,5,6,7,10,1,3,8,5,5,5,9,4,8
3,2,1,2,4,23,3,1,,3,4,3,1,5,6,7,1,5,2,5,1,1,5,1,12,7,7,1,1,7,7,5,2,7,1,1,3,7,7,,,,7,9,,7,2,6,5,3,5,1,,4,4,4,33,33,34
3,2,4,1,5,19,1,0,18,4,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,
5,2,5,1,3,21,2,0,20,2,4,5,2,5,6,7,1,2,7,7,1,1,2,1,14,1,4,1,1,1,1,1,1,3,7,6,10,8,6,8,3,9,,4,,5,10,4,1,10,7,7,6,5,5,5,63,63,65
4,2,2,8,5,23,1,3,20,1,2,1,2,1,5,3,7,6,2,4,5,5,6,4,14,2,5,2,1,1,2,2,2,3,9,7,6,5,4,7,8,7,,4,,8,7,2,,2,4,4,2,4,4,5,2,2,50
4,2,1,2,4,24,3,10,25,2,5,3,2,3,6,2,6,2,7,7,1,5,1,1,12,6,9,2,3,7,7,7,7,7,1,1,4,8,5,4,,8,2,3,0,2,2,0,4,0,0,0,8,4,3,5,48,36,6
3,2,5,8,3,24,3,40,24,1,5,5,3,5,7,6,2,2,1,6,2,2,1,1,14,4,5,3,4,5,3,3,2,4,6,4,,,,,,,,,,,,,,,,,,5,4,4,120,120,
2,2,1,2,5,22,2,1,23,2,4,4,2,2,7,7,1,6,3,5,2,1,3,2,14,1,1,1,4,1,1,2,1,1,6,7,2,1,,2,1,0,,1,,,,4,,3,2,,,5,5,5,9,9,8
2,2,4,2,4,27,3,3,30,1,5,5,1,5,7,7,1,1,1,7,1,1,1,1,15,7,6,1,1,9,7,7,7,7,9,1,8,,7,9,1,10,2,10,,,,,3,3,,,10,5,5,5,84,84,92
5,2,1,2,5,22,1,0,21,2,5,5,1,5,7,7,1,1,4,7,1,1,1,1,14,2,5,5,4,6,5,5,5,5,5,6,6,2,1,8,0,,,,,,2,6,1,,2,,7,5,4,4,10,10,60
4,1,1,2,2,23,2,5,23,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,6,11
4,2,1,2,4,27,3,12,30,4,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,58,65
2,2,1,2,3,28,3,6,,1,5,5,3,5,7,7,1,1,3,7,1,1,1,1,14,7,4,1,1,4,7,7,7,7,2,1,10,4,9,10,5,4,,10,,9,,,7,6,9,6,9,5,5,5,48,36,46
4,2,1,1,4,22,1,3,22,1,2,3,3,4,2,6,6,2,5,6,3,6,1,3,14,2,7,6,5,7,6,6,4,7,7,3,9,6,0,7,,6,,10,,,10,10,10,7,10,,10,4,3,2,22,22,
4,2,1,2,5,28,2,3,29,3,4,4,1,5,6,6,5,1,4,6,1,1,4,1,14,2,5,4,3,2,4,4,4,5,5,3,,,,,,,,,,,,,,,,,,,,,36,14,84
4,1,1,2,4,23,3,11,21,3,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1,3
4,2,1,2,5,23,2,3,23,1,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,55,84
5,2,1,1,5,20,1,0,22,1,4,3,1,5,5,7,1,5,3,6,2,2,3,1,15,1,5,1,4,2,3,3,3,3,6,5,9,5,5,7,10,8,,7,,,6,2,3,9,2,2,5,4,3,4,33,33,
5,2,7,2,5,24,1,0,23,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,96
2,2,1,2,2,28,2,5,27,2,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,10,1
4,1,1,1,2,19,3,25,19,1,2,2,1,4,5,6,2,2,4,7,1,1,1,1,14,3,5,2,3,5,7,7,7,7,6,4,4,3,5,7,,10,,7,,8,,,8,9,9,,,2,4,4,5,1,16
4,1,1,1,4,21,1,0,21,1,5,5,2,5,3,7,1,6,6,6,6,2,1,2,14,1,2,1,4,3,1,1,1,1,7,7,3,0,,1,0,2,,,,,1,,,,2,3,,5,5,4,36,36,11
4,2,1,2,4,24,3,4,24,2,2,2,1,4,6,4,3,2,5,4,2,2,4,4,12,6,7,5,4,7,6,7,7,7,2,1,2,,,1,,,1,5,,,,,4,,,,,4,4,4,20,3,10
2,2,1,2,3,23,1,6,26,3,4,5,4,5,6,7,4,1,4,7,1,1,2,1,13,9,9,2,9,9,9,9,9,9,9,2,4,3,6,6,7,,7,2,,5,3,3,3,,4,6,,5,5,5,13,13,9
3,1,2,8,3,23,0,2,23,2,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,24,
2,2,1,1,3,22,2,50,24,1,3,2,1,1,6,6,5,7,7,6,4,5,6,1,14,7,7,2,4,7,7,7,7,7,7,1,7,6,6,5,2,5,,10,,10,8,6,8,7,7,7,10,4,2,5,2,1,3
4,2,1,4,4,28,3,1,30,1,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,68
5,1,1,1,2,18,2,2,17,1,2,5,5,5,4,,7,4,7,4,4,4,4,2,15,4,4,1,1,1,4,4,1,1,1,1,7,5,5,10,4,6,0,3,8,3,9,10,,0,10,7,10,1,1,1,26,26,3
1,5,1,1,3,25,1,0,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
4,1,1,2,3,23,4,7,21,1,3,5,3,4,2,3,6,4,6,2,2,2,7,4,14,3,6,6,1,2,6,7,7,6,2,3,,,,,,,,,,,,,,,,,,,,,36,15,6
,1,1,1,4,23,3,4,22,1,2,3,3,5,5,4,5,4,3,1,3,6,5,2,11,6,6,5,5,5,5,5,5,5,5,5,5,2,3,1,5,1,1,1,3,2,4,7,4,5,3,2,9,1,3,2,36,3,4
5,2,3,2,5,27,2,2,25,2,4,5,1,5,6,5,3,2,2,6,2,3,2,1,14,1,1,1,4,2,1,4,1,2,4,6,2,5,4,,8,,,,,6,3,6,,8,,3,,4,5,5,82,82,5
5,1,4,2,6,24,2,1,24,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,42
5,6,4,4,5,25,3,0,25,1,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,
2,2,1,2,4,22,3,6,25,1,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,5,2
,2,1,2,2,24,2,4,26,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,18
4,2,1,1,2,20,1,2,20,2,5,5,1,5,7,7,1,1,2,7,1,1,3,1,14,2,4,1,5,5,4,7,7,5,7,6,3,3,6,8,,,,9,,1,2,3,5,,5,9,8,5,5,5,34,34,36
3,1,1,2,4,23,3,7,21,4,4,4,2,4,4,6,2,2,4,6,2,2,6,4,14,1,1,1,6,2,1,1,1,1,7,7,4,2,4,5,1,2,,,,2,,1,,3,,,,5,5,5,26,9,5
,2,1,2,3,23,4,3,26,4,5,5,1,5,7,7,1,1,4,6,1,1,4,1,14,1,1,1,1,1,2,1,1,1,9,9,4,2,10,4,,,,3,,4,,,2,,3,,,3,5,5,36,11,15
2,2,1,2,4,26,5,3,,3,4,5,1,5,6,6,2,4,4,5,2,2,3,1,12,3,9,1,9,9,2,2,2,6,2,2,,,,,,,2,,,6,,2,,,4,,,4,4,4,73,73,75
2,1,1,2,3,27,2,4,31,1,5,5,2,5,7,7,1,2,2,6,2,2,1,1,12,4,3,1,2,2,3,4,6,4,2,2,7,3,5,8,2,3,6,6,5,1,2,6,3,5,4,4,8,5,5,5,60,60,68
4,2,1,2,4,23,3,5,,3,3,3,1,4,6,2,5,2,2,7,2,2,5,1,9,6,7,2,2,6,6,6,6,6,2,1,8,5,5,9,5,5,8,7,8,10,2,7,10,7,6,1,2,5,4,5,24,3,18
,2,1,2,3,22,3,1,23,1,3,3,1,4,7,6,1,7,5,6,2,2,5,1,14,3,2,1,2,1,5,6,4,6,4,3,5,2,1,7,3,,,8,,10,,3,1,2,6,1,6,5,5,4,18,5,9
3,2,4,2,4,25,3,12,32,1,5,5,1,5,7,6,1,1,4,7,1,1,1,1,14,1,5,1,6,1,5,5,5,1,5,5,2,,1,5,,4,,2,,6,1,1,3,3,,3,2,5,5,5,45,45,50
3,2,1,2,4,23,2,5,26,1,3,2,2,4,6,5,5,2,6,6,2,7,3,3,14,1,2,1,6,1,1,1,1,1,7,7,5,7,2,8,9,8,,5,,5,6,8,6,,10,,2,5,5,5,18,1,3
6,2,1,8,4,24,2,6,,1,3,3,1,5,7,7,1,1,5,6,1,1,6,1,14,6,6,1,3,7,7,7,7,7,5,1,6,3,3,5,1,1,,4,,2,1,5,7,,1,,4,,,,24,18,60
3,1,1,2,4,26,2,5,26,1,3,5,3,5,6,6,4,2,5,6,2,7,3,3,14,1,4,2,4,2,2,5,3,9,6,6,5,2,2,7,7,8,,6,,9,,2,0,10,4,0,5,5,5,5,54,54,14
4,2,1,2,4,22,3,6,22,2,4,4,2,5,7,6,6,7,2,7,7,7,7,3,14,1,1,1,1,1,1,1,1,1,7,7,4,6,4,8,,4,,,,10,3,,,,2,,,4,5,5,12,12,24
5,2,1,2,4,23,1,1,22,1,5,2,2,5,7,6,1,1,2,6,2,3,3,4,14,1,1,1,2,2,2,6,5,6,6,6,2,1,1,1,,,,1,,,1,4,0,1,1,1,,5,5,5,83,83,
2,2,1,2,3,22,5,14,26,1,4,3,1,4,7,7,3,1,4,6,1,2,1,1,12,5,3,1,2,2,5,5,5,6,2,2,6,8,8,10,,,4,6,2,10,,6,7,10,2,,,5,5,5,36,1,3
4,2,1,2,6,24,1,0,24,3,5,5,1,5,6,7,1,5,1,4,2,1,5,4,12,5,5,1,3,6,6,4,4,6,3,1,3,5,3,4,6,4,4,5,,,4,5,4,6,3,,5,4,5,5,90,90,
2,4,1,2,4,23,8,30,24,1,3,3,1,2,7,6,7,4,4,5,5,4,3,1,14,2,3,3,4,3,2,2,2,2,6,7,,,,,,,,,,,,,,,,,,4,4,4,12,1,6
5,1,1,2,4,28,1,2,25,1,5,5,1,5,6,5,5,1,4,5,1,5,2,3,14,3,3,1,1,1,2,6,5,7,7,6,,1,1,1,7,4,,5,,8,5,1,5,1,5,1,3,4,5,4,48,48,48
4,2,5,2,3,28,5,2,34,1,5,5,1,5,7,7,5,1,5,7,1,6,2,3,14,2,5,2,6,4,2,6,2,6,6,5,,3,4,8,,8,,6,,4,2,,3,1,,,,2,5,4,46,46,47
3,2,1,2,4,24,2,1,24,1,5,4,1,5,7,7,1,1,2,6,5,2,1,1,14,1,1,1,2,2,2,2,2,1,5,6,6,5,,3,4,4,,3,,5,3,3,4,7,4,2,4,5,5,5,36,30,42
,2,1,8,3,25,1,1,26,1,4,4,2,4,6,6,3,3,2,6,2,4,5,1,14,3,6,3,4,5,5,5,5,5,6,4,5,1,3,8,4,5,3,3,3,1,4,6,5,5,7,7,2,1,1,1,14,14,
3,1,1,2,4,22,1,2,,1,4,5,2,5,5,6,5,3,7,6,2,5,2,1,14,1,1,1,4,2,1,1,1,1,6,7,4,7,2,7,8,9,,6,,10,,9,6,,9,,,5,5,5,11,11,22
,1,1,2,3,25,1,4,24,1,5,5,3,5,5,6,2,6,2,7,1,7,1,1,14,2,5,2,2,2,2,2,2,2,9,9,6,5,2,6,1,2,,6,,8,6,,10,,1,1,1,3,3,3,60,60,6
5,2,1,2,4,23,3,20,26,1,5,5,2,5,6,4,5,5,5,3,4,4,,3,12,7,9,7,7,7,5,5,4,5,5,7,8,8,7,5,5,5,6,7,6,7,6,7,7,6,3,7,6,3,4,4,55,55,
4,2,1,2,5,26,1,2,25,1,5,5,1,5,6,6,1,1,5,7,2,2,3,1,14,1,4,1,9,9,1,1,1,1,6,6,5,4,4,,3,,,,,5,4,3,,,6,,,5,5,5,40,40,
