e1,d1,d2,d4,d5,d6,r1,r2,r5,r6,r9,r10,r11,r13,r15,r19,r20,r21,r22,r24,r25,r26,r27,r28,f1,f3,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,f15,f16,f17,r3,r7,r8
4,1,1,2,4,26,2,4,23,2,4,4,1,5,7,6,1,1,1,6,1,1,2,1,14,7,4,1,2,6,7,7,7,7,3,1,6,2,1,9,4,6,3,1,,8,10,4,9,10,8,1,5,4,5,5,24,24,43
4,2,1,2,3,22,2,3,22,2,5,5,1,5,7,7,1,1,3,6,1,2,3,1,12,6,7,1,2,6,6,2,2,6,1,1,4,7,2,5,,,5,4,,6,2,5,2,1,6,,,5,5,5,20,20,26
4,2,6,2,3,22,2,0,22,1,2,2,3,3,4,2,5,5,7,4,5,3,4,2,8,4,4,1,2,4,6,7,6,7,5,1,,,,,,,,,,,,,,,,,,,,,24,18,14
1,1,1,2,4,28,1,1,28,1,5,5,1,5,7,7,1,1,1,7,1,1,1,1,14,1,2,1,2,1,1,1,1,1,9,9,6,4,4,5,3,1,,,,,,,,,,,,5,5,5,96,96,
4,2,1,2,4,27,2,2,31,2,4,5,1,5,7,6,1,1,5,7,1,3,2,1,14,1,5,2,3,3,1,2,2,2,7,7,5,7,5,6,4,7,,7,,6,2,4,4,,6,3,,4,4,4,24,26,
3,1,7,2,5,27,1,1,28,1,4,2,2,4,7,7,2,1,1,5,5,5,3,3,14,1,5,1,1,1,1,1,1,1,7,7,1,0,0,0,0,2,,5,,8,,,,0,10,,6,5,5,5,6,6,38
3,1,1,2,4,24,2,2,23,2,5,5,2,5,6,5,2,5,2,6,2,2,2,1,12,5,6,2,2,2,6,7,6,6,2,2,6,5,1,4,1,1,1,4,1,1,3,1,1,1,1,1,5,4,4,4,55,55,9
3,2,1,2,5,24,2,3,30,3,2,3,1,3,3,2,6,2,7,4,2,2,5,4,12,6,2,2,2,4,4,6,5,7,3,2,3,2,5,8,6,5,3,7,5,9,2,4,6,,6,3,,4,4,4,30,6,12
2,1,1,2,4,22,1,3,19,2,5,5,1,5,7,7,1,1,4,6,1,2,6,4,14,1,1,1,4,1,1,1,1,1,7,7,,,,,,,,,,,,,,,,,,,,,15,15,24
5,2,1,1,3,18,1,0,18,3,5,5,1,5,7,7,1,5,1,6,2,4,2,1,8,7,9,9,9,9,9,7,7,7,1,9,10,,,5,5,,,10,,,0,,8,6,2,2,10,5,4,4,24,24,
2,2,1,2,5,25,3,1,27,1,4,4,1,5,7,7,1,2,4,6,1,1,2,1,12,5,7,2,3,4,5,7,7,7,2,2,6,2,5,5,,,9,6,,8,1,0,7,4,,,3,5,5,5,38,4,11
5,2,1,2,3,25,3,0,,1,2,4,1,5,4,3,3,2,2,3,5,2,5,3,13,3,2,3,1,4,4,4,4,2,1,5,,,,5,6,6,,,7,5,1,,,,,,,3,3,3,36,30,
4,2,1,1,3,21,1,5,21,1,4,4,1,5,7,6,1,1,2,6,1,1,1,1,12,5,7,4,5,7,6,7,6,7,9,2,7,,4,9,,,10,8,,,,,10,,,,,5,4,4,10,10,6
2,2,1,2,4,24,1,1,,4,5,5,1,5,7,7,2,2,3,7,1,1,3,1,8,7,7,7,1,7,7,7,7,7,7,1,9,7,,,,,9,10,,10,,,10,,9,5,10,5,4,4,3,3,96
2,2,1,2,4,28,3,0,25,1,3,3,2,5,7,7,1,1,5,7,1,1,2,1,12,4,6,1,4,6,6,7,7,7,3,2,8,3,1,9,7,8,5,9,,7,,,10,1,10,5,8,5,4,4,36,8,12
2,2,5,2,3,26,3,10,28,1,4,4,1,3,6,5,4,2,5,6,2,4,5,1,14,2,1,1,1,2,2,7,6,6,6,6,4,1,1,3,,2,,5,,4,,7,1,,,2,4,2,2,4,54,2,7
5,2,1,2,4,26,2,4,25,1,1,3,1,4,1,3,5,5,5,4,3,5,2,3,12,7,5,4,3,5,6,6,6,6,1,1,3,5,1,1,2,4,7,7,9,5,2,3,9,3,7,2,9,5,4,5,18,1,9
3,1,1,2,4,21,1,3,21,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,10
4,2,5,1,4,21,2,2,23,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,48
1,2,2,1,3,19,2,4,18,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,4,
4,2,4,1,3,18,2,1,18,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,9,11
4,2,1,1,3,19,1,1,21,1,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,3
3,2,1,1,2,21,2,1,23,1,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,1
4,1,1,2,3,28,1,1,29,4,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,18
2,2,1,1,3,18,0,3,18,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,13
3,2,1,1,3,20,0,0,19,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,
2,2,3,1,3,26,3,9,,1,5,5,1,5,7,7,2,1,3,7,1,1,1,1,14,1,1,1,4,1,1,1,1,1,7,7,,,,,,,,,,,,,,,,,,,,,36,39,51
3,1,1,2,4,24,2,1,25,1,4,4,2,4,6,6,6,6,6,4,4,4,4,2,14,1,1,1,6,2,1,1,1,1,7,7,7,6,5,6,6,,,5,,8,7,5,,,8,9,8,4,4,4,14,14,26
4,2,1,1,3,18,3,7,19,1,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,24
4,2,1,2,4,23,3,1,24,3,4,4,1,5,7,6,2,1,5,7,2,6,2,3,15,9,9,9,9,9,9,9,9,9,9,9,4,,,6,,,,4,,3,0,,,4,6,,,5,5,5,40,40,48
4,2,1,2,4,28,2,1,25,2,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,84
5,2,5,2,4,23,2,1,23,3,2,4,2,4,3,4,5,3,3,6,2,3,2,1,12,5,7,6,2,7,7,7,7,7,2,1,,,,,,,,,,,,,,,,,,,,,21,2,15
4,2,1,2,4,21,2,1,22,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3,2
4,2,1,2,3,27,1,0,30,4,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,120
1,2,1,2,4,28,2,3,65,1,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,12,12
4,2,1,3,5,27,1,2,27,1,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,96,
3,2,1,2,5,25,3,2,27,1,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,3,11
4,2,5,8,3,22,0,3,26,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1
4,2,1,2,4,26,2,4,26,1,5,5,1,5,7,7,1,1,1,7,1,1,1,1,12,1,4,1,4,1,3,5,4,4,5,3,7,9,1,1,9,7,4,9,6,7,2,2,0,10,5,,10,5,5,5,84,84,96
2,2,1,1,5,21,1,0,21,1,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,14
3,2,1,2,4,28,4,0,29,2,3,3,2,3,5,4,3,7,3,2,6,2,2,2,14,2,5,1,1,6,6,7,7,7,4,3,7,8,5,9,,7,,9,,10,4,8,9,7,,5,9,4,3,2,30,3,19
2,2,1,1,4,21,1,3,20,1,5,5,1,5,7,7,2,2,3,6,2,2,2,1,14,2,2,2,2,2,2,2,2,2,4,6,4,4,4,4,4,5,,1,,,1,1,,,,1,,5,5,5,12,12,18
4,2,3,2,4,23,3,4,24,1,5,5,1,5,6,7,5,1,1,7,2,1,1,1,14,1,1,1,6,1,1,1,1,1,6,6,7,8,8,9,,,,5,,,6,2,2,,2,5,,4,5,3,18,18,25
1,2,1,2,3,24,1,5,29,1,3,3,1,3,7,6,2,2,4,6,2,2,4,1,10,4,7,2,9,4,4,6,6,6,6,4,5,4,,5,,,,10,,8,,,5,10,2,8,10,5,5,5,2,2,
4,1,1,2,4,25,3,2,27,1,5,5,1,5,6,4,4,4,4,4,4,4,4,4,14,1,1,1,7,2,1,1,1,1,7,7,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,36,5,5
5,2,1,2,4,22,4,2,23,1,5,5,1,5,7,7,1,2,1,7,1,2,1,1,14,1,5,2,1,1,1,3,2,1,6,6,7,4,2,8,,4,,,,,,,,,4,1,2,4,4,2,24,16,26
4,2,1,1,3,18,1,4,18,1,5,4,3,4,5,4,2,6,4,5,2,4,6,4,14,4,6,5,1,4,7,7,7,7,5,4,8,8,8,8,2,,6,10,,7,8,9,10,6,6,6,8,,,,15,15,15
1,2,1,1,4,18,2,2,18,1,4,5,3,5,7,7,1,1,2,7,1,1,1,1,12,1,1,1,1,1,1,1,1,1,4,7,3,2,4,0,,,,,,1,,,,,5,,,4,4,5,48,48,72
4,2,1,1,3,19,3,2,20,2,2,4,3,5,5,4,5,6,7,4,6,2,7,4,9,3,7,4,1,7,7,7,4,7,6,1,8,5,10,10,,,10,10,5,7,3,8,10,,10,,,5,5,3,46,46,49
2,1,1,7,4,26,3,12,23,4,4,5,1,5,7,6,2,2,5,5,5,5,2,3,12,5,2,1,1,1,6,5,2,6,5,2,6,1,6,4,2,7,3,5,,3,1,1,,2,,,7,4,4,4,20,12,18
4,2,1,4,2,24,2,1,26,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,3,5
4,1,1,1,5,20,2,10,20,1,1,2,2,4,3,3,3,7,3,5,3,1,5,4,14,5,7,1,3,7,5,3,3,7,6,3,5,6,3,1,1,1,0,5,0,2,,0,0,0,8,0,2,5,5,5,18,1,1
5,2,4,1,4,17,2,0,,1,3,4,1,5,6,6,2,1,2,6,2,2,4,1,12,5,7,2,3,7,7,6,6,6,3,1,6,8,,9,,,9,9,,10,2,6,7,3,3,1,5,5,4,4,8,1.5,3
4,2,5,1,4,19,2,1,25,1,4,5,1,5,7,7,3,1,1,7,2,2,1,1,11,1,2,1,1,6,5,5,5,5,5,2,5,1,1,5,,,8,8,,8,7,2,7,5,6,2,9,5,5,5,18,7,8
4,2,1,1,2,21,2,0,21,2,1,1,2,3,7,4,3,6,5,6,2,2,6,4,15,1,1,1,1,1,1,1,1,1,1,6,,,,,,,,,,8,8,7,,10,6,8,8,5,5,5,18,18,3
3,2,1,1,2,21,1,0,23,1,5,5,1,5,6,7,2,2,3,6,2,2,6,4,12,9,9,9,9,9,9,9,9,9,9,9,7,5,,7,,,6,8,9,,4,6,5,1,,,,4,4,4,84,84,
3,2,4,1,5,18,0,2,18,1,2,4,2,2,3,3,7,6,5,2,5,4,2,2,10,2,4,1,2,2,2,2,2,2,6,6,5,5,1,1,7,7,,1,,,1,5,2,5,5,,5,,,,3,3,12
5,2,1,1,5,18,1,0,18,1,5,5,1,5,7,7,3,1,6,7,1,3,2,1,14,1,2,1,6,1,1,1,1,1,6,7,6,9,9,3,5,9,,9,,,8,9,8,10,8,,10,5,5,5,15,15,
4,1,1,1,4,18,2,0,18,2,5,4,2,5,6,6,2,6,2,6,1,2,7,4,8,2,2,2,9,1,1,2,2,2,9,6,,,4,6,0,3,5,2,,,,0,5,6,4,5,0,,,,4,4,7
2,2,1,1,5,19,1,1,19,4,4,4,2,5,6,4,7,4,2,6,2,5,2,1,14,1,4,1,4,6,1,1,1,1,6,7,6,9,3,7,9,9,,3,,6,3,3,5,4,8,,2,5,5,2,8,8,24
2,2,4,1,4,19,1,5,19,1,5,4,3,4,6,7,2,4,4,4,5,1,7,4,8,9,9,9,9,9,9,9,9,9,9,9,8,8,6,10,8,8,1,8,8,10,7,9,7,9,7,5,5,4,3,3,58,58,3
4,2,1,1,5,19,1,1,19,1,5,5,1,5,7,7,1,2,1,7,1,1,1,1,14,1,1,1,9,1,1,1,1,1,7,7,8,,6,,6,9,,,,10,1,2,,10,,8,9,5,5,5,12,12,40
5,2,1,1,5,18,2,2,18,2,3,2,2,5,5,7,1,1,2,7,2,2,4,1,12,2,6,2,1,5,9,5,5,5,5,2,8,9,9,4,,,2,6,3,6,1,7,1,4,10,,,,,,15,4,7
,1,2,1,4,21,1,1,19,4,5,5,1,5,7,7,2,1,2,3,1,1,2,1,8,4,2,1,4,1,4,5,5,5,4,4,8,2,1,1,4,9,8,9,,10,8,1,8,9,9,0,9,3,3,5,20,20,48
4,2,4,1,4,20,1,0,23,1,5,5,1,5,7,7,1,2,2,7,1,1,5,4,15,5,3,2,1,1,3,5,5,5,7,5,6,2,6,6,5,4,,7,,,1,5,4,1,7,4,,5,5,5,60,60,
3,2,1,1,6,19,4,1,19,1,1,1,1,1,1,1,7,4,3,2,3,4,2,2,14,1,5,1,2,1,1,1,1,1,5,7,8,8,8,0,0,0,0,0,,7,5,10,0,,2,,,5,5,5,4,0.25,1
5,2,4,1,5,19,1,2,20,2,5,5,2,5,7,4,4,5,2,3,6,2,2,2,12,1,7,2,2,2,6,6,6,7,2,2,8,3,7,,,8,5,8,,9,9,8,8,5,3,,4,4,5,3,54,54,59
4,2,1,1,5,19,2,2,19,1,4,3,1,5,6,5,6,4,2,6,3,6,2,1,14,2,5,2,2,2,2,5,4,4,5,6,3,3,,,,,,6,,7,5,3,6,,2,3,,4,4,4,,12,13
4,2,4,1,5,19,2,1,19,1,1,1,1,5,4,6,1,2,3,4,1,1,4,4,14,1,2,3,1,1,1,4,3,3,6,6,6,9,,,7,7,,10,,4,2,4,10,,10,,8,4,3,3,36,1,1
4,2,1,1,4,20,1,1,21,1,4,4,2,4,6,7,5,4,7,4,5,5,3,3,14,1,7,2,5,4,1,1,1,1,5,6,,8,4,9,10,9,,8,,7,,7,8,10,8,8,,3,5,4,6,6,1
3,2,1,2,4,24,3,2,25,1,5,5,1,5,6,7,1,1,5,5,1,5,1,1,11,4,5,1,5,5,7,6,5,7,6,1,6,5,3,9,,,6,9,,8,2,4,6,6,,5,,4,4,5,28,28,42
2,2,1,1,6,20,2,4,21,1,3,3,1,5,7,4,4,3,6,6,1,5,7,4,14,1,3,1,2,1,1,1,1,1,6,9,8,6,6,1,,,6,5,,10,3,,7,,2,,4,5,5,4,21,6,39
5,1,1,1,4,18,1,0,18,1,2,2,2,4,5,6,6,3,2,7,5,4,5,1,12,4,9,2,9,9,5,6,6,6,5,4,4,6,8,0,7,8,3,8,5,10,,9,10,4,7,,,5,4,4,6,6,16
1,2,1,1,4,21,1,1,23,2,5,4,1,5,7,7,1,1,4,7,2,1,1,1,14,5,6,6,5,4,7,4,6,7,5,2,8,6,7,9,9,8,,10,,8,10,6,7,8,10,10,10,5,5,5,24,24,27
4,1,1,8,4,23,1,0,21,2,4,5,1,5,6,6,2,5,4,6,2,4,2,1,14,2,2,2,3,2,2,2,2,2,2,6,5,8,6,7,4,5,,6,,,5,5,,,8,,,4,5,5,24,24,0
3,1,1,2,4,28,1,0,25,3,5,5,3,4,7,1,1,1,6,3,1,1,6,4,14,4,5,6,5,7,5,3,4,6,6,5,5,4,1,7,3,3,0,4,,,7,,6,,,3,6,5,5,5,,38,
3,1,1,1,4,18,1,4,19,1,5,5,1,5,6,6,2,2,2,5,2,1,1,1,14,1,2,1,4,5,1,2,2,1,5,6,6,2,0,3,2,2,,2,,1,2,5,,1,1,,1,5,5,5,25,25,36
2,1,1,1,4,22,2,4,19,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6
5,2,1,1,4,17,2,3,19,1,1,2,2,2,2,1,7,1,7,7,1,7,1,3,12,6,5,2,1,1,1,2,3,6,4,1,,,,1,,3,5,8,10,1,1,,2,,,,3,3,3,4,7,0.5,0.25
5,2,4,1,5,18,2,0,17,2,4,3,1,5,5,7,1,7,1,4,4,3,5,4,14,1,1,1,3,1,1,1,1,1,5,7,7,7,7,,9,,,,,10,5,9,,5,7,7,10,5,5,5,16,12,13
2,2,4,1,3,18,1,3,19,1,4,5,3,5,5,6,7,2,7,6,6,2,3,1,8,6,6,7,2,6,6,7,6,6,1,1,8,6,6,10,5,10,,10,7,10,8,,6,10,8,,10,2,2,4,20,20,48
1,2,3,1,3,24,2,3,24,1,2,2,1,5,7,1,1,1,7,1,1,1,7,4,14,1,2,2,1,7,1,3,3,6,2,7,10,10,5,9,10,10,10,10,,9,10,10,5,3,9,,10,3,3,4,60,60,72
4,1,1,1,4,25,3,40,27,1,2,4,1,4,5,3,5,2,6,6,3,2,2,1,12,5,9,9,9,9,9,9,9,9,9,9,4,2,1,4,6,4,1,3,8,5,1,1,1,3,1,0,3,3,4,5,10,10,30
3,2,1,8,4,22,2,0,25,1,5,5,1,5,7,7,1,1,5,7,1,1,1,1,9,3,7,1,6,7,7,7,7,7,1,9,,,,,,,,,,,,,,,,,,,,,49,49,20
4,2,3,1,5,21,2,4,20,1,2,3,2,2,6,3,7,5,4,3,5,3,7,4,14,1,6,1,5,1,1,2,2,3,5,6,,,,,,,,,,,,,,,,,,,,,5,3,13
4,1,1,1,4,18,1,0,18,1,4,4,2,4,6,6,4,6,2,6,7,1,6,2,14,1,1,1,6,2,1,2,1,2,9,9,6,,,3,2,3,,2,,8,,0,2,1,4,,,4,3,5,25,25,2
2,2,1,1,3,21,3,4,23,2,5,4,1,5,7,7,3,5,1,6,5,3,4,1,14,3,6,3,2,4,4,6,5,6,6,3,6,8,3,8,7,4,,6,,8,1,2,5,2,5,1,9,5,4,4,47,18,19
4,1,1,1,4,25,3,50,27,1,2,4,1,4,4,3,4,2,5,6,2,2,5,1,12,6,9,2,9,9,9,9,9,9,9,2,4,1,1,3,6,3,0,2,4,3,1,1,1,4,1,0,3,3,4,2,11,11,24
5,1,1,1,3,20,4,10,20,1,5,5,3,5,7,7,1,7,1,4,2,5,2,3,14,2,5,4,7,7,3,6,4,6,6,6,8,,10,7,2,2,,10,,,,10,8,,3,1,5,3,3,3,12,10,12
3,2,1,1,3,20,1,0,21,1,5,5,1,5,7,6,2,1,1,6,2,2,4,1,11,4,7,1,1,7,7,7,2,7,1,1,9,7,6,7,,2,10,10,,,1,10,10,3,8,,,5,3,4,36,36,
4,2,1,2,3,23,2,2,25,1,5,5,3,5,7,7,1,1,3,7,1,3,1,1,10,4,6,5,2,7,7,7,6,7,4,2,2,8,1,8,10,10,,4,,7,8,,10,10,7,5,10,5,5,5,26,26,40
3,2,1,1,3,18,1,5,19,4,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,12,6
3,2,1,3,5,22,2,5,,2,3,5,1,5,6,7,1,1,2,7,3,1,1,1,11,2,2,1,1,1,1,1,1,1,7,2,3,10,1,5,7,10,5,10,,3,3,7,2,10,1,1,7,4,5,5,36,4,12
3,2,1,1,3,21,1,0,24,3,1,2,2,4,4,6,3,6,5,6,2,2,6,4,11,2,7,2,1,6,4,5,5,4,2,5,7,9,8,0,,,8,9,,,7,9,3,4,6,,7,4,4,4,24,24,
3,2,1,1,5,18,2,5,18,1,4,4,1,5,7,6,2,2,2,6,2,5,1,1,14,2,2,2,2,2,2,2,2,2,5,7,6,,2,0,8,9,,7,1,10,1,1,,10,6,2,10,4,5,3,7,3,1
4,2,1,1,4,21,1,0,24,3,1,2,2,4,2,6,2,6,5,6,3,5,7,4,14,3,7,2,1,6,5,5,5,6,2,3,8,9,9,,,,,8,,,8,10,4,4,9,,6,4,4,4,24,24,
3,2,1,1,4,18,1,4,18,1,2,3,2,3,5,5,3,4,4,3,3,3,4,4,14,2,6,1,2,5,3,6,5,4,6,6,3,,,4,1,5,,5,,7,,1,3,3,3,,3,5,3,5,5,5,2
4,1,1,1,4,18,1,0,18,1,5,5,1,5,7,7,1,1,4,7,1,1,4,1,14,2,4,4,2,2,1,5,6,5,7,7,,0,,,6,7,,5,,4,,2,4,8,5,,,,,,3,3,
2,2,4,1,3,21,2,2,21,1,5,5,1,5,7,7,1,1,2,7,1,1,3,1,8,7,6,6,5,7,7,7,7,7,5,1,7,8,5,6,8,2,1,10,,9,2,7,10,,5,,10,5,5,5,19,19,26
2,2,1,1,2,20,2,0,21,4,5,5,1,5,7,7,1,1,5,7,1,1,4,1,14,1,4,1,5,7,2,5,5,5,7,7,6,5,5,8,8,10,,10,,4,,,,10,9,3,3,5,3,5,32,21,24
,1,4,1,4,21,2,6,20,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,7
4,1,1,1,4,18,2,1,18,2,3,5,1,5,6,7,2,2,4,7,3,5,2,1,14,1,5,2,5,6,3,3,3,5,5,6,5,,4,1,1,8,,7,,8,4,2,2,7,5,1,3,4,3,3,9,8,13
4,2,4,1,4,18,2,1,21,2,5,5,3,5,6,7,1,7,1,4,5,2,5,4,12,4,6,9,2,2,6,6,4,4,5,2,9,,,3,7,,,5,4,,6,9,7,,4,2,,4,4,3,24,24,47
2,2,1,1,5,19,2,3,,1,5,5,1,5,7,5,2,2,6,6,2,2,2,1,14,1,2,1,2,2,1,1,1,2,6,6,3,1,4,6,,,,4,0,3,0,0,4,3,2,,0,4,4,4,7,7,16
4,2,1,1,2,18,1,2,20,3,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,4
,1,1,1,4,21,1,2,23,1,1,2,3,2,5,6,4,1,7,6,1,4,5,4,12,5,1,1,2,1,1,3,1,3,5,5,6,,3,,,2,6,5,3,,,7,5,,10,1,,5,5,5,2,3,24
2,2,5,1,5,19,2,0,18,2,5,5,3,5,7,7,1,1,4,7,1,4,4,1,14,1,6,4,6,6,2,5,2,2,9,6,7,9,4,1,,,,,,5,0,5,3,3,7,3,5,5,5,5,15,5,12
5,2,4,1,3,19,3,4,19,4,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,3,7
4,2,1,1,5,19,1,3,20,1,1,2,2,5,7,4,5,2,4,5,1,7,7,4,14,1,1,1,4,1,1,1,1,1,1,7,5,,,,0,6,,,,,,,,,,,,5,5,5,28,28,14
4,5,1,1,5,18,1,4,18,1,2,2,3,1,2,,,7,,,,,7,4,11,5,7,4,2,5,5,5,5,5,3,3,6,3,2,8,3,10,2,3,,10,10,0,0,8,9,1,2,3,3,3,10,0,24
3,2,1,1,4,18,1,0,18,1,5,5,1,5,7,7,1,2,4,7,1,1,1,1,14,1,6,1,5,7,1,4,7,2,6,6,,,,,,,,,,,,,,,,,,5,5,5,9,9,17
3,1,1,1,5,21,3,3,21,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,17,24
3,2,1,1,4,21,4,6,23,1,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,8
5,2,1,1,4,19,1,0,19,1,5,4,2,4,7,7,1,7,1,2,5,2,4,3,11,7,7,4,2,7,7,7,7,7,7,1,10,,,,,,7,10,,10,,,10,,,,,5,5,5,11.75,11.75,42
3,2,7,1,4,18,2,2,18,1,3,4,3,4,5,3,5,5,4,6,3,4,3,1,14,1,2,1,4,2,1,1,1,1,6,7,6,,,,8,,,8,,9,9,8,9,,8,2,,,,,21,9,1
5,2,1,1,4,17,1,,18,1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,3
6,1,1,1,5,21,3,0,21,1,5,5,1,5,7,7,1,1,4,7,1,1,6,1,14,1,6,1,5,2,1,2,2,2,7,6,,,,,,,,,,,,,,,,,,,,,19,19,25
2,2,1,1,4,18,1,0,18,1,5,5,1,5,6,7,1,1,4,6,1,2,3,1,14,1,1,1,4,1,1,1,1,1,5,7,,,,,,,,,,,,,,,,,,,,,28,28,
3,1,4,1,5,18,2,3,21,1,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1.5,5
4,1,1,1,5,19,2,0,19,3,4,5,2,5,6,6,5,6,5,,,,,3,14,1,2,2,3,2,1,3,3,2,7,7,9,10,8,1,0,3,0,4,0,0,0,1,1,0,2,0,0,4,4,4,13,13,11
2,2,4,1,5,19,1,3,20,1,1,1,1,1,4,4,1,6,3,3,5,2,6,4,14,5,4,3,1,4,3,5,5,5,7,4,7,8,6,8,7,9,,6,,5,5,,6,7,3,,6,5,3,5,7,1,12
5,2,1,1,5,20,1,1,20,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,1
2,1,2,1,3,19,1,3,19,1,3,3,2,5,6,7,1,1,7,7,1,1,7,1,14,1,1,1,7,6,1,1,1,1,6,7,7,3,2,6,8,7,,2,,0,1,1,0,4,5,7,8,5,5,5,6,6,2
