e1,d1,d2,d4,d5,d6,r1,r2,r5,r6,r9,r10,r11,r13,r15,r19,r20,r21,r22,r24,r25,r26,r27,r28,f1,f3,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,f15,f16,f17,r3,r7,r8
3,2,1,1,3,19,1,0,19,1,5,5,1,5,7,7,1,1,6,7,1,1,6,1,14,1,6,9,4,4,1,1,1,1,6,7,,,,,,,,,,,,,,,,,,,,,24,24,
5,1,1,1,4,18,2,7,18,1,4,2,2,3,6,6,1,5,5,5,2,2,2,1,14,1,2,1,3,1,1,3,3,2,6,5,4,4,2,2,3,4,0,0,0,5,5,4,0,0,2,0,0,4,4,4,18,6,10
4,2,1,1,5,21,2,0,20,2,5,4,2,5,5,5,2,7,4,6,5,1,6,4,14,1,2,1,5,2,2,2,2,2,7,9,6,9,9,8,8,7,,5,,10,10,1,5,,2,,10,5,5,4,34,34,12
4,1,1,1,6,20,1,1,21,2,4,5,2,5,4,5,4,1,7,3,5,7,2,3,12,5,7,3,3,6,7,7,7,7,3,1,8,4,4,0,7,,7,10,3,8,7,3,8,,6,,7,3,3,4,34,34,12
5,2,1,1,4,18,1,2,18,2,4,4,2,5,6,7,1,2,4,6,2,2,6,4,14,2,6,2,9,2,2,4,4,3,6,5,8,5,4,9,9,9,,10,,8,6,10,10,10,10,4,8,5,5,4,8,8,
4,2,1,2,4,25,3,6,27,1,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,6,11
4,1,1,1,4,20,1,0,20,1,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,
3,2,1,1,5,20,3,9,23,2,3,5,2,5,5,4,5,5,5,6,1,1,7,4,14,1,6,2,7,4,2,5,6,5,2,6,4,9,6,4,9,9,,5,,8,6,10,5,10,7,4,10,3,4,2,24,11,36
4,2,1,1,3,21,3,1,21,1,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,
4,1,1,1,4,21,2,6,21,1,1,1,2,4,2,6,7,5,5,3,5,7,2,2,10,3,4,4,4,4,4,5,7,6,4,5,3,8,6,5,5,8,3,6,6,9,7,5,7,6,8,5,3,4,3,1,30,3,2
4,1,7,1,3,20,1,0,20,1,4,3,2,5,3,6,7,3,3,6,2,5,5,1,14,4,7,2,2,6,4,5,5,4,4,3,,3,4,9,,10,10,9,,8,,8,9,,8,9,,2,2,3,20,48,48
2,2,4,1,4,21,4,4,21,3,1,3,2,2,5,6,6,6,6,4,3,2,5,4,8,1,5,5,4,1,1,1,1,1,9,9,,,,,,,,,,,,,,,,,,4,5,5,3,3,3
4,2,4,1,5,18,2,2,18,1,4,4,1,5,7,7,4,4,2,7,2,2,1,1,14,4,7,6,4,4,4,3,2,6,6,5,5,2,2,9,1,1,1,6,0,6,1,5,2,1,3,1,3,4,4,4,28,1,2
2,2,4,1,2,18,1,1,24,1,4,5,5,2,4,6,7,6,1,2,6,5,1,1,14,1,6,5,2,6,2,4,3,4,9,6,10,4,,10,6,10,,10,,10,,3,6,10,8,5,10,,,,26,26,9
5,2,1,1,4,18,0,2,18,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,48
3,2,1,1,4,19,2,0,19,3,5,4,3,4,4,6,4,5,4,5,3,2,6,4,12,2,9,1,9,5,3,4,9,9,2,3,5,2,3,7,,5,1,3,,0,5,4,5,3,5,2,,4,4,3,29,29,58
6,1,1,1,5,18,1,4,17,1,5,2,3,2,4,5,5,7,1,3,6,1,6,4,14,2,2,2,2,2,2,2,2,2,6,7,8,10,10,,,,,,,10,10,10,5,,2,,,3,5,2,12,12,4
5,2,1,1,2,19,5,14,24,1,1,5,2,4,1,2,7,6,4,2,6,6,2,2,14,4,7,5,2,1,5,5,4,5,6,5,10,6,7,10,10,3,,9,,10,10,10,10,1,6,5,10,3,3,3,20,8,2
6,2,4,1,3,18,1,4,18,1,2,3,1,3,4,2,7,5,4,5,3,3,4,1,12,7,7,6,2,7,6,6,6,7,2,1,9,8,9,6,,,10,10,,,8,9,10,,,3,10,1,1,1,3,3,5
3,2,4,1,4,19,2,0,19,1,5,5,1,5,7,7,1,2,1,6,1,6,1,3,14,2,2,2,2,6,5,7,7,7,4,6,7,6,4,9,8,4,4,6,,6,4,10,6,5,8,2,,5,4,4,24,12,36
2,2,1,5,4,25,1,1,,1,5,4,2,5,6,7,1,1,1,6,1,1,5,1,14,7,7,5,7,6,7,6,6,6,5,1,6,6,3,4,4,4,3,8,2,0,0,6,9,1,1,1,1,4,3,3,12,60,
2,2,1,1,4,19,2,20,20,1,4,4,1,5,7,7,1,1,1,7,1,1,1,1,14,3,6,2,1,3,7,7,7,5,3,3,6,,,8,6,,,6,,4,,,6,,6,,3,4,5,5,6,6,8
1,1,1,1,4,18,3,2,18,1,1,2,3,4,3,4,5,4,4,4,4,4,5,3,14,4,4,5,5,4,3,3,3,2,1,1,,,,,,,,,,,,,,,,,,1,2,2,6,5,4
4,2,1,1,4,19,1,1,20,1,3,3,1,5,6,6,2,1,2,6,3,2,2,1,8,2,4,2,2,2,2,2,2,2,6,7,3,4,4,3,,3,,3,,,1,1,1,3,5,,,5,5,5,6.5,6.5,
5,2,1,1,4,20,1,2,21,1,4,5,1,5,7,7,1,7,4,5,2,5,6,4,12,4,6,1,9,9,9,5,5,5,9,9,9,5,7,3,,,,,,7,10,4,,,10,,,4,4,3,10,10,18
4,2,1,1,4,21,1,2,21,2,5,5,1,5,5,6,2,2,5,6,2,2,2,1,14,1,2,2,6,2,2,2,2,2,6,7,,,,,,,,,,,,,,,,,,4,4,4,70,70,
4,2,1,1,5,19,2,0,17,3,4,4,1,5,6,5,1,2,4,5,3,3,2,1,12,4,9,9,9,5,5,3,4,9,9,2,7,7,6,2,1,5,5,5,7,3,2,4,6,1,2,1,5,4,3,3,12,12,38
4,1,1,1,5,19,2,2,19,1,1,2,2,3,3,2,7,5,3,5,3,6,5,3,14,4,6,2,2,3,2,5,3,4,6,6,0,1,2,3,2,7,,,,9,,5,,5,4,6,,3,3,3,3,2,11
4,2,1,1,5,21,1,0,21,1,4,4,2,4,4,7,1,2,5,7,1,1,2,1,14,1,1,1,2,1,1,1,1,1,5,7,4,,,,,,,,,4,,1,,2,8,,,5,5,5,48,48,24
2,2,4,1,2,21,2,2,20,2,5,5,1,5,7,7,2,5,3,5,5,1,3,1,14,2,5,1,5,2,1,2,1,2,7,5,7,8,6,10,10,10,,3,,3,1,4,3,9,1,4,9,5,5,5,36,36,
4,2,1,1,5,23,2,3,24,1,5,5,1,5,7,7,1,1,1,4,2,2,4,1,14,1,1,1,1,1,1,1,1,2,7,7,6,,,,,5,,2,,2,2,3,,10,,,3,5,5,5,60,12,4
3,2,3,1,5,21,1,0,24,2,5,5,1,5,7,4,3,5,2,4,3,5,4,3,12,2,9,9,9,9,9,9,9,9,9,9,5,6,6,2,2,8,4,7,8,,4,7,7,10,2,,5,4,4,4,26,26,
4,2,1,1,4,18,1,0,,4,4,4,1,5,6,7,2,3,1,7,1,2,1,1,12,4,7,5,2,7,7,7,7,7,9,1,5,6,7,9,,5,8,8,10,,0,2,6,5,0,0,0,5,5,5,4,4,
4,3,6,1,2,20,1,1,22,1,1,1,2,5,7,4,2,1,6,4,5,7,1,3,12,2,1,1,4,1,9,5,9,2,6,2,6,4,3,10,6,9,4,7,,6,0,3,8,6,4,5,,4,3,5,3,3,3.5
2,1,2,1,2,18,2,1,18,1,1,1,2,3,5,6,3,6,4,6,2,2,4,1,14,2,5,1,3,1,4,6,6,5,6,5,6,,3,10,,5,,10,,,3,3,1,9,10,10,,5,5,5,7,7,4
3,2,1,1,4,18,1,1,17,3,3,5,1,5,6,6,7,3,5,7,1,6,1,3,14,2,5,1,2,1,5,6,3,3,7,6,7,4,8,8,1,3,1,6,0,6,3,3,1,,7,2,4,4,4,5,13,4,40
4,2,1,1,5,19,1,2,19,4,4,3,2,4,7,5,7,3,2,5,2,6,6,3,14,1,5,2,2,4,1,1,1,1,7,9,6,8,6,6,7,8,,6,,8,5,5,4,7,8,,5,4,4,4,7,7,36
4,2,1,1,5,19,2,4,19,1,4,3,1,4,4,4,5,5,3,4,3,3,2,1,14,2,5,2,2,2,4,5,5,5,6,6,5,5,4,,,,,6,,7,8,4,6,3,,5,,4,4,4,18,12,23
2,2,1,1,3,21,1,1,21,1,5,5,3,5,7,6,2,1,1,6,1,5,1,1,10,1,2,1,1,1,1,2,1,1,6,7,7,9,10,8,,10,,3,,,4,8,,7,9,2,,3,3,3,69,69,8
4,2,1,1,2,19,1,1,19,1,5,4,1,5,7,7,1,1,1,5,1,1,1,1,12,2,7,1,5,1,1,6,1,6,6,2,8,6,,10,1,1,10,10,,9,,,2,,,,3,4,4,4,23,23,
2,2,1,1,5,20,1,2,21,1,3,4,1,5,6,6,3,5,5,7,1,2,3,1,14,3,5,1,4,2,2,2,2,1,6,7,5,6,3,7,7,6,,6,,6,3,4,,,5,,7,4,3,3,7,7,18
4,2,1,1,4,18,1,2,18,1,3,3,2,5,6,5,2,2,5,6,2,2,5,1,14,1,1,1,3,1,1,1,1,1,4,9,2,2,2,,,,,3,,,2,4,,3,1,4,,5,5,5,9,9,2
5,2,1,1,4,21,1,3,21,1,4,4,2,4,7,7,4,4,3,7,1,4,2,1,14,2,6,2,3,6,4,3,3,3,6,6,,8,4,0,9,,,,,5,,7,7,4,,,5,4,3,3,36,36,6
3,2,1,1,3,20,1,5,21,1,4,3,3,3,4,4,7,6,6,6,3,6,5,1,12,7,2,6,2,6,7,6,6,7,5,1,8,2,1,8,5,9,1,8,,9,,,8,8,8,2,8,3,3,3,24,24,8
4,2,4,1,3,18,3,2,18,2,4,4,1,5,7,7,3,2,1,6,1,1,1,1,14,5,7,5,1,7,5,6,6,6,6,2,7,,,8,,,,10,,,,3,9,,8,,8,5,5,5,13,13,20
5,2,1,1,4,18,1,5,18,1,5,5,1,5,7,7,1,1,1,7,1,1,1,1,9,3,6,4,2,1,6,7,6,6,3,3,5,8,,4,2,2,3,8,2,,1,3,6,3,3,,,5,5,5,60,60,70
2,2,1,1,5,20,1,3,20,2,5,5,3,5,6,6,2,3,5,6,2,2,5,1,14,3,5,2,5,5,3,4,4,3,5,5,4,3,4,2,,1,,1,,1,2,1,,,4,,1,4,4,4,72,72,
5,2,1,1,5,18,2,1,17,1,3,2,2,2,1,4,7,7,3,6,5,4,6,4,14,1,2,5,4,1,1,1,1,6,6,9,8,2,5,2,3,7,0,5,,10,10,3,1,6,5,2,6,4,5,4,12,7,1
4,1,1,1,4,18,1,0,18,1,3,3,2,4,6,5,2,5,2,6,2,2,4,1,14,3,5,4,3,5,6,5,4,6,5,5,6,4,6,8,4,6,7,7,,4,5,2,,5,3,,5,4,3,5,24,24,2
4,2,1,1,3,23,3,15,23,2,4,5,3,5,7,7,1,2,1,7,1,6,1,1,14,4,6,1,2,6,4,7,7,7,6,4,8,3,3,10,6,7,,8,,6,7,10,7,10,10,2,2,5,4,5,47,47,3
4,2,1,1,4,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,0,,,,,,,0,2,,,,,,5,5,5,0,,
4,2,1,1,4,23,1,1,25,2,5,4,2,4,4,4,2,2,2,4,2,6,2,3,14,4,7,6,2,6,7,7,7,7,4,2,7,3,9,9,9,9,10,10,,,8,8,10,,7,4,10,2,1,2,72,72,
4,2,1,1,5,19,3,0,19,3,5,5,1,5,1,7,1,1,2,1,1,1,1,1,14,2,2,1,4,4,4,6,5,2,6,6,5,7,4,,3,5,,8,,7,0,6,0,,7,,7,5,5,5,15,13,5
5,2,1,1,5,21,1,1,20,2,3,2,2,5,6,6,2,6,2,3,4,2,5,2,14,2,2,2,5,5,2,4,4,6,7,6,4,6,7,,,9,,6,,7,,5,4,9,6,3,,4,4,4,48,48,7
3,2,1,1,4,20,1,2,20,1,3,3,2,3,5,,,,,5,2,4,5,4,14,1,1,1,2,1,1,1,1,1,4,7,5,5,5,7,,7,,,,6,,6,,7,10,5,,4,4,4,36,36,18
3,2,1,1,3,21,1,0,25,2,5,5,1,5,7,7,2,1,2,6,3,1,6,1,10,2,9,2,1,7,1,4,4,4,5,3,7,2,1,4,7,9,,4,,,5,3,,10,6,2,5,4,5,5,33,33,
2,2,1,1,4,21,2,1,22,1,1,1,1,4,6,6,2,4,4,6,2,5,4,1,14,1,2,1,4,2,2,2,2,2,6,7,1,,,,,,,2,,,,,,2,,,,5,5,5,2,2,12
3,1,1,1,3,21,1,14,22,2,3,3,1,4,6,2,4,2,7,7,1,6,4,1,14,5,4,9,2,1,4,6,6,9,6,3,8,8,2,9,0,0,,4,,9,1,3,7,,10,6,7,4,4,5,7,7,18
4,2,1,1,5,18,1,0,17,1,3,4,2,4,5,5,6,1,6,6,3,6,1,3,14,6,7,5,6,4,5,5,3,7,5,4,5,7,4,,,6,7,9,,5,6,7,2,4,9,5,,4,5,3,8,8,3
,2,3,1,4,26,2,4,26,2,5,5,1,5,7,7,1,3,2,4,3,3,4,3,14,4,7,7,1,4,3,7,7,7,7,2,10,7,4,7,10,8,,9,,4,4,7,5,4,,5,10,4,4,4,72,72,108
5,1,1,1,5,22,2,5,21,1,4,5,1,5,6,7,1,1,5,6,1,1,4,1,14,1,1,1,6,1,1,1,1,1,5,7,2,7,4,6,5,3,,6,,7,,3,,5,9,2,6,4,5,5,33,10,24
5,2,4,1,4,18,1,2,18,1,3,5,1,5,7,7,2,1,1,7,1,1,1,1,12,6,6,1,1,1,5,7,7,7,1,1,5,,2,3,,,1,,,,4,3,,,5,,10,5,5,5,12,12,16
4,2,1,1,4,18,0,1,18,1,1,1,2,3,7,4,4,4,7,7,1,1,1,1,12,1,7,1,1,1,1,7,4,4,4,1,10,,2,8,2,10,10,0,,4,,2,10,10,,,7,5,5,5,1.5,1.5,2.5
2,2,1,1,5,18,1,1,20,1,4,4,1,5,7,7,1,6,3,7,2,1,6,1,14,2,3,1,1,5,5,5,5,2,1,6,5,4,3,,,,,,,,2,,5,,4,,,4,4,5,14,14,23
4,1,1,1,4,22,1,13,24,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,8,9,9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,1,2,3,36,0,6
5,2,4,1,5,19,3,0,18,2,4,4,1,5,7,6,1,1,2,4,1,1,2,1,12,4,1,1,5,6,2,1,1,9,2,1,5,8,,,,,4,3,,,,,,,,,,4,5,5,15,6,
5,2,1,1,4,18,1,1,18,1,1,5,3,4,1,2,3,7,3,3,4,2,5,4,14,2,2,2,2,2,2,2,2,4,6,4,2,,,,3,3,,3,,4,,2,,1,,,,4,5,3,18,18,2
4,2,1,1,4,18,2,0,18,1,3,3,1,5,6,6,2,1,4,6,2,4,4,4,14,3,5,1,2,2,3,6,5,6,4,4,4,,4,4,,,,5,,,1,2,3,1,4,2,,4,3,4,22,22,30
3,2,1,1,5,18,3,0,19,2,1,4,2,4,1,3,5,4,4,6,4,3,4,1,14,3,5,2,4,4,5,5,3,5,4,5,8,5,5,8,,6,,5,,9,8,4,,,4,,,4,4,4,26,7,4
4,2,1,2,5,23,1,0,23,1,2,2,2,3,5,5,6,5,5,3,3,5,5,2,14,1,5,5,5,3,2,2,2,2,6,7,5,3,4,7,7,7,4,5,6,5,4,4,5,7,6,3,5,5,5,5,6,6,2
4,2,1,2,6,23,0,1,23,1,2,2,2,3,6,4,5,5,4,5,4,5,5,2,14,1,1,1,1,1,1,1,1,1,9,9,5,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,2,2,12
3,2,1,1,4,18,1,0,18,2,1,1,2,5,4,4,4,4,4,4,4,4,4,3,14,1,1,1,1,1,1,1,1,1,6,7,,,,,,,,,,,,,,,,,,,,,15,15,
4,1,1,1,4,21,0,1,20,2,3,3,1,3,4,5,4,5,5,4,4,4,4,3,14,2,5,3,4,3,4,5,5,5,4,4,6,5,,,,,,,,,,5,5,5,6,,,5,5,5,4,4,
3,2,1,1,3,21,0,7,24,1,1,1,4,1,2,2,6,5,6,1,4,5,7,4,14,1,1,1,1,1,1,1,1,1,7,7,8,3,8,10,5,8,,10,,10,7,9,9,,10,9,,5,5,5,1,12,
3,2,4,1,4,18,2,1,18,1,3,3,1,4,7,7,2,1,2,6,2,1,4,1,14,5,4,3,2,5,5,5,5,6,3,2,6,4,3,3,,,,7,,5,2,4,8,5,8,,,3,4,4,10,1,3
5,1,1,1,4,18,2,3,18,1,4,3,2,4,4,3,5,3,2,5,2,2,5,4,12,2,7,1,3,6,3,5,5,5,6,5,7,8,4,6,8,6,8,8,,7,6,7,8,,5,,,2,3,3,13,10,14
5,2,1,1,5,20,2,8,21,2,2,3,1,3,7,6,5,2,1,6,2,2,3,1,14,2,7,1,2,5,3,5,5,6,6,6,6,3,3,3,,2,,5,,7,1,5,6,,9,4,,4,4,4,6,0.75,4
6,1,2,1,4,19,1,2,21,1,1,1,2,5,6,5,2,5,4,4,5,2,3,2,12,1,7,2,1,7,6,7,7,7,4,2,7,8,7,6,0,2,10,9,9,5,3,10,,,4,5,7,5,4,5,8,8,22
2,1,1,1,5,18,1,0,18,1,5,5,2,5,7,6,1,1,3,7,1,4,3,1,14,1,4,1,1,4,3,6,6,6,6,5,2,3,1,,,,,2,,,5,7,,3,,,2,5,5,4,30,30,
4,2,4,1,4,18,4,5,19,1,5,5,1,5,7,7,1,1,7,7,1,2,1,1,12,6,7,2,6,2,4,5,3,6,2,2,10,7,7,9,6,8,5,7,5,8,7,10,8,10,9,9,10,5,5,5,24,12,24
2,2,1,1,4,22,1,0,28,1,5,5,2,5,7,7,1,2,4,5,2,2,3,1,14,1,4,1,3,6,2,2,2,2,6,4,6,6,6,6,6,6,,5,,,4,2,4,6,4,3,4,1,1,1,24,24,
4,2,1,1,2,20,1,0,20,4,3,4,1,5,3,4,6,2,1,6,3,5,2,1,12,6,6,4,2,4,6,7,7,7,1,1,6,10,2,9,,3,,2,,,5,2,,3,2,,6,5,5,5,9,9,
3,2,4,1,4,19,2,0,19,2,2,2,1,4,5,6,3,2,3,6,2,1,1,1,12,5,5,1,1,1,5,6,6,7,5,2,1,1,0,0,0,3,3,4,0,3,4,,2,0,1,0,,4,4,5,36,11,28
4,2,1,1,3,21,2,3,21,1,1,1,1,,6,6,2,2,7,5,1,2,6,4,12,4,5,5,2,5,4,7,7,6,4,3,7,5,2,9,0,0,2,6,,2,1,1,3,3,8,4,1,3,3,5,22,22,2
4,1,1,1,3,18,0,1,18,1,1,2,2,3,3,2,5,4,2,3,5,5,3,3,14,2,3,2,5,3,1,1,1,1,6,7,7,5,1,8,1,3,,,,,,2,,2,6,3,,5,5,5,5,5,15
3,2,1,1,4,18,1,0,18,4,5,5,3,3,2,2,5,7,3,3,4,2,6,4,14,5,6,2,5,5,6,6,6,6,5,2,7,8,9,7,,,,9,,10,,4,8,5,7,,,4,4,3,17,17,11
2,2,4,1,5,19,2,6,20,1,1,1,2,3,1,5,6,3,7,7,2,7,2,3,14,1,2,5,6,1,2,2,2,2,1,9,7,1,1,6,3,6,,6,,9,1,0,2,10,10,5,3,4,5,5,7,4,5
,2,1,1,4,18,1,3,21,1,1,1,1,1,5,4,6,1,4,2,5,1,5,2,12,1,9,9,9,4,4,4,4,4,4,4,4,1,2,,,,1,5,2,4,,,3,6,,,2,4,4,4,2,2,3
4,2,4,1,4,18,1,3,20,1,5,5,2,5,7,7,1,1,1,7,2,2,1,1,14,1,5,1,3,5,2,4,4,2,6,6,,3,1,7,,,,7,1,5,8,4,5,,5,,,5,5,5,16,16,0.096
3,3,4,1,3,20,3,2,20,4,5,5,1,5,7,6,1,1,5,7,1,1,5,1,8,5,7,1,1,7,7,7,7,7,6,1,3,10,,10,5,8,,5,,4,,7,10,4,7,10,10,5,5,5,35,35,48
,1,1,1,5,18,1,1,19,1,2,1,2,5,6,6,2,5,7,6,1,2,7,4,14,2,4,2,2,2,3,7,6,2,5,6,3,4,3,2,3,6,,,,7,,5,1,9,4,1,7,4,5,4,20,20,11
4,1,4,1,4,21,2,2,21,1,5,5,2,2,4,4,4,6,3,1,7,1,1,2,14,5,5,3,2,7,7,7,7,7,4,2,7,,,10,,7,,10,8,10,9,8,10,3,,8,10,4,3,3,18,6,9
4,2,1,1,3,21,1,3,26,1,4,4,2,5,2,4,2,2,2,6,2,7,1,3,12,9,9,2,2,6,6,6,9,9,4,2,6,10,4,7,,,3,4,,7,,7,1,4,8,,,4,4,4,30,30,9
4,2,4,1,5,20,3,3,22,1,5,5,1,5,6,7,1,1,4,6,1,5,1,3,14,1,1,1,4,1,1,2,2,2,5,6,5,7,3,3,,3,,4,,4,5,6,5,,,,,4,4,4,19,19,26
5,2,1,1,5,21,2,3,20,1,5,5,2,3,4,7,1,2,4,7,2,2,6,1,14,3,5,2,2,5,5,5,5,5,4,6,5,5,0,0,,0,,9,,9,7,3,9,0,2,3,,4,4,4,29,29,39
4,2,4,1,4,21,4,2,22,2,4,5,1,5,7,7,1,1,2,7,1,2,1,1,14,6,7,1,2,7,6,6,6,6,2,2,7,10,,8,8,5,,5,,8,9,8,,,5,8,10,5,5,3,30,19,21
5,2,1,2,4,23,2,1,24,1,5,5,2,5,6,6,2,3,5,6,2,5,2,3,12,5,7,2,6,7,7,7,7,7,4,1,8,,,4,,4,8,10,,4,2,,5,1,8,,10,5,5,5,96,96,100
2,2,1,1,4,20,1,0,23,4,5,5,1,5,6,6,2,2,2,6,2,2,3,1,14,2,5,2,5,7,5,6,6,6,3,5,3,2,6,5,5,2,6,7,,,,6,6,,6,,5,5,5,5,37,37,
2,2,1,1,5,18,2,0,18,2,3,3,1,5,6,7,1,2,2,6,2,2,2,1,14,2,6,3,3,6,3,2,4,2,4,5,3,1,2,3,5,4,,7,0,6,2,,3,,8,1,,4,4,5,24,24,30
3,1,1,1,3,23,2,1,25,4,4,4,2,5,7,6,1,1,1,6,2,2,6,4,14,1,2,1,2,2,2,1,1,3,6,5,8,5,7,7,8,9,,,,8,7,,,10,8,8,8,5,5,5,37,37,48
3,2,1,1,4,20,1,0,20,1,5,4,2,2,7,3,1,7,5,1,5,1,1,2,14,1,3,1,4,1,1,1,1,1,4,7,4,6,4,4,5,7,,,,10,,,,8,7,,9,4,4,5,22,22,6
2,2,4,1,4,18,1,2,18,2,5,5,1,,7,7,1,1,2,7,1,1,2,1,14,1,5,2,2,2,2,5,2,3,6,6,9,5,7,7,8,6,,7,,8,7,5,6,7,8,8,9,5,4,5,33,33,44
,2,1,1,4,19,3,2,19,1,5,5,1,5,7,,,,,7,1,4,2,1,12,3,6,1,6,7,7,7,7,7,4,1,8,4,3,9,,,2,9,,8,,,10,,3,1,,5,5,5,8,8,16
2,1,4,1,3,19,3,4,19,2,5,5,1,5,7,6,1,1,6,6,1,3,6,1,12,6,6,2,2,7,6,6,6,6,2,1,7,3,2,8,7,2,4,10,1,8,2,4,9,1,8,5,9,,,,7,4,12
4,1,1,1,4,25,2,5,24,1,5,5,1,5,7,7,1,2,2,7,2,2,2,1,12,3,6,9,2,6,6,6,2,6,6,1,8,8,7,8,2,10,10,10,5,4,,5,7,10,7,,8,5,5,5,4,4,47
3,1,1,1,5,18,2,3,18,1,5,3,1,5,7,7,1,1,2,7,1,1,1,1,14,1,2,2,1,1,1,1,1,5,6,6,1,0,4,0,0,1,,1,,5,2,0,0,,8,0,,5,5,5,42,28,30
3,2,1,1,4,20,1,2,20,2,5,5,1,5,7,7,1,2,3,7,1,1,5,1,14,2,6,4,9,2,2,5,9,6,9,6,8,2,3,6,9,7,,8,,0,5,7,2,3,5,,,5,5,5,40,40,53
3,1,7,1,5,19,1,2,19,1,5,5,1,5,6,7,1,2,3,6,1,2,3,1,14,1,2,1,2,5,5,5,5,3,7,7,,2,3,3,3,5,,3,,,5,4,,6,6,,,5,5,5,24,24,
4,2,1,1,4,19,1,5,22,2,5,5,1,5,6,6,3,5,3,2,6,2,3,2,14,1,1,1,2,1,1,1,1,1,6,7,1,9,4,5,2,3,,1,,4,2,9,6,,7,5,3,4,2,1,4,4,5
4,2,1,1,3,21,2,3,21,1,4,2,2,2,5,4,5,7,3,6,5,1,7,4,14,2,3,2,3,3,1,1,1,1,6,7,3,8,8,8,,8,,5,,7,,,2,,4,,,5,5,5,43,5,0.5
3,2,1,1,5,18,1,0,19,1,5,5,1,5,7,7,1,1,5,7,1,1,5,1,14,2,5,1,9,2,2,6,5,2,6,6,4,7,3,,,,,,,,3,3,,2,,,,4,4,4,12,12,
2,5,4,1,4,21,4,4,20,1,5,5,1,5,7,7,1,3,6,7,1,3,7,1,14,4,6,1,4,6,3,6,6,6,4,5,10,3,2,8,6,7,,8,,9,1,0,4,,8,7,9,4,5,5,24,8,24
2,2,1,1,5,20,1,0,22,1,2,2,2,3,3,5,3,4,3,5,4,3,4,1,14,3,2,3,2,3,3,2,4,4,4,5,5,6,4,8,7,7,5,3,7,5,4,6,7,6,6,5,7,,,,8,8,4
3,2,5,1,3,20,1,1,20,1,4,4,2,5,7,7,2,2,4,6,4,2,2,1,14,2,6,6,2,5,2,4,2,3,5,6,4,5,,4,,,,6,,,7,2,3,,4,,,5,4,5,31,31,
4,1,1,1,4,18,2,5,17,1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,22
